Wilayah,Kota,K. Tidur,K. Mandi,Luas Tanah,Luas Bangunan,Carport,Listrik,K. Tidur Pembantu,K. Mandi Pembantu,Lantai,Kondisi,Garasi,furnishing,TahunRumah,Harga
Summarecon Bekasi, Bekasi,4.0,4.0,239.0,272.0,0.0,4400.0,0.0,1.0,2.0,bagus,0.0,unfurnished,5.0,2990000000.0
Summarecon Bekasi, Bekasi,3.0,2.0,55.0,69.0,1.0,2200.0,0.0,0.0,2.0,bagus,0.0,unfurnished,0.0,1270000000.0
Summarecon Bekasi, Bekasi,3.0,3.0,119.0,131.0,1.0,2200.0,1.0,1.0,2.0,bagus,1.0,unfurnished,2.0,1950000000.0
Summarecon Bekasi, Bekasi,3.0,3.0,180.0,174.0,0.0,3500.0,1.0,1.0,2.0,bagus sekali,2.0,unfurnished,6.0,3300000000.0
Summarecon Bekasi, Bekasi,4.0,3.0,328.0,196.0,2.0,3500.0,1.0,1.0,2.0,bagus,1.0,unfurnished,9.0,4500000000.0
Summarecon Bekasi, Bekasi,3.0,3.0,136.0,200.0,2.0,3500.0,1.0,1.0,2.0,bagus,1.0,semi furnished,9.0,2700000000.0
Summarecon Bekasi, Bekasi,2.0,2.0,144.0,144.0,1.0,4400.0,0.0,0.0,2.0,bagus,1.0,unfurnished,2.0,2350000000.0
Summarecon Bekasi, Bekasi,4.0,4.0,216.0,250.0,2.0,3500.0,1.0,1.0,2.0,bagus,1.0,semi furnished,4.0,4500000000.0
Summarecon Bekasi, Bekasi,3.0,3.0,200.0,152.0,2.0,4400.0,3.0,1.0,2.0,bagus,0.0,semi furnished,2.0,2900000000.0
Summarecon Bekasi, Bekasi,3.0,3.0,136.0,200.0,1.0,3500.0,1.0,1.0,2.0,bagus,1.0,semi furnished,2.0,2700000000.0
Summarecon Bekasi, Bekasi,3.0,2.0,144.0,186.0,1.0,2200.0,1.0,0.0,2.0,bagus,0.0,unfurnished,2.0,2550000000.0
Summarecon Bekasi, Bekasi,2.0,2.0,55.0,50.0,1.0,2200.0,0.0,0.0,2.0,baru,0.0,unfurnished,0.0,952000000.0
